"player","salary","season"
"Kevin Garnett",46505454,2004
"Shaquille O'Neal",41107498,2004
"Dikembe Mutombo",29421826,2004
"Rasheed Wallace",28235454,2004
"Allan Houston",26470738,2004
"Chris Webber",26470738,2004
"Shawn Kemp",24817195,2004
"Shareef Abdur-Rahim",22422272,2004
"Vin Baker",22422272,2004
"Zydrunas Ilgauskas",22422272,2004
"Antoine Walker",22422272,2004
"Kobe Bryant",22422272,2004
"Latrell Sprewell",22422272,2004
"Antonio McDyess",22422272,2004
"Ray Allen",22422272,2004
"Allen Iverson",22422272,2004
"Anfernee Hardaway",22422272,2004
"Stephon Marbury",22422272,2004
"Michael Finley",22058948,2004
"Keith Van Horn",22056457,2004
"Grant Hill",22056457,2004
"Tracy McGrady",22056457,2004
"Jalen Rose",22056457,2004
"Jason Kidd",21844276,2004
"Jermaine O'Neal",21844276,2004
"Antonio Davis",21467250,2004
"Tim Duncan",21053891,2004
"Damon Stoudamire",20553750,2004
"Eddie Jones",20485237,2004
"Brian Grant",20147903,2004
"Vlade Divac",20016462,2004
"Nick Van Exel",19858867,2004
"Tim Thomas",19640250,2004
"Tom Gugliotta",19382809,2004
"Paul Pierce",18811820,2004
"Antawn Jamison",18811820,2004
"Dirk Nowitzki",18811820,2004
"Vince Carter",18811820,2004
"Terrell Brandon",18436090,2004
"Steve Francis",18203563,2004
"Elton Brand",18203563,2004
"Baron Davis",18203563,2004
"Shawn Marion",18203563,2004
"Glenn Robinson",17821554,2004
"Theo Ratliff",16868607,2004
"Lamar Odom",16548627,2004
"Mike Bibby",15778636,2004
"Kerry Kittles",15391089,2004
"Dale Davis",15050950,2004
"Toni Kukoc",15041607,2004
"Greg Ostertag",14394544,2004
"Gilbert Arenas",14177520,2004
"Jamal Mashburn",14159250,2004
"Jason Terry",13840908,2004
"Raef LaFrentz",13584160,2004
"Andre Miller",13287272,2004
"Wally Szczerbiak",13287272,2004
"PJ Brown",13287272,2004
"Glen Rice",13096267,2004
"Erick Dampier",13024849,2004
"Maurice Taylor",12955090,2004
"Derek Anderson",12945125,2004
"Wesley Person",12789000,2004
"Alan Henderson",12759415,2004
"Austin Croshere",12639518,2004
"Kelvin Cato",12197716,2004
"Marcus Camby",12041590,2004
"Rashard Lewis",11647933,2004
"Corey Maggette",11626363,2004
"Bonzi Wells",11626363,2004
"Brad Miller",11626363,2004
"Jerry Stackhouse",11470653,2004
"Doug Christie",11460272,2004
"Ron Mercer",11211136,2004
"Shandon Anderson",11128090,2004
"Chris Mills",10962000,2004
"Lorenzen Wright",10962000,2004
"Bo Outlaw",10937086,2004
"Richard Hamilton",10795909,2004
"Hakeem Olajuwon",10508443,2004
"Bob Sura",10408362,2004
"Predrag Stojakovic",10380681,2004
"Eddie Robinson",10304280,2004
"Tariq Abdul-Wahad",10276875,2004
"Jason Williams",10276875,2004
"Michael Dickerson",10276875,2004
"Charlie Ward",10015281,2004
"Jerome Williams",9944693,2004
"Howard Eisley",9705937,2004
"Jonathan Bender",9633272,2004
"Steve Nash",9550227,2004
"Vitaly Potapenko",9492095,2004
"Al Harrington",9454725,2004
"Jason Caffey",9446420,2004
"Jahidi White",9427471,2004
"Christian Laettner",9342613,2004
"Radoslav Nesterovic",9301090,2004
"Eric Williams",9201436,2004
"Ben Wallace",9135000,2004
"Kenny Thomas",9135000,2004
"Alvin Williams",9135000,2004
"Metta World Peace",9091291,2004
"Calvin Booth",9046639,2004
"Avery Johnson",9044646,2004
"Clarence Weatherspoon",9044646,2004
"Joe Smith",9044646,2004
"Todd MacCulloch",9044646,2004
"Ruben Patterson",9044646,2004
"Danny Fortson",9016414,2004
"Brent Barry",8968909,2004
"Cuttino Mobley",8959151,2004
"Kurt Thomas",8959151,2004
"Scot Pollard",8818701,2004
"Kenyon Martin",8518286,2004
"Sam Cassell",8408352,2004
"Ricky Davis",8305542,2004
"Chauncey Billups",8305542,2004
"Jerome James",8305542,2004
